cap,subset,scheme,ov,IS_sh,IS_dd,OOS_sh,OOS_cagr,OOS_dd,OOS_vol,OOS_worst
CAP5,FULL,HLV,True,0.6791704521800455,-0.12066825175573126,0.29168863660129773,0.010005062733184689,-0.12026293215126604,0.03639660516187833,-0.027183335851531005
CAP5,FULL,INV,False,1.2568934387577062,-0.14329955648459403,0.3810974728949228,0.030002553928349496,-0.2554625568014012,0.08762125924698008,-0.0553533682234857
CAP5,FULL,INV,True,0.5404746907565484,-0.11769470843826457,0.31231805982919597,0.010693273138217219,-0.11041472941923725,0.03613784264468492,-0.02919466510953075
CAP5,NOHO,EQ,False,1.3178876139805793,-0.13798393368582318,0.50526960548298,0.04700052109534991,-0.22594480871703204,0.10096163345864452,-0.0663783057231341
CAP5,NOHO,EQ,True,1.4543702206120397,-0.09863849796010615,0.18067838745275758,0.00680364033162828,-0.12491100559067025,0.04250740736652178,-0.023059032416327032
CAP5,NOHO,HLV,False,1.3981309273428135,-0.11845902555436028,0.5021604225422022,0.04454138560089649,-0.2010672627018174,0.09591992903064231,-0.0692712583118638
CAP5,NOHO,HLV,True,1.5252080702047777,-0.09028901617247187,0.3926253826391984,0.01576981749415629,-0.12106946298788812,0.04209918868599817,-0.021340359501851154
CAP5,NOHO,INV,False,1.4509971397579082,-0.09941031479999263,0.4746353229463045,0.04099163939035022,-0.2052597221116491,0.09391466638994295,-0.07035789022710076
CAP5,NOHO,INV,True,1.5838427023313804,-0.07881525971311287,0.4300740632265157,0.016965365626682827,-0.10272273868113013,0.04106540527367327,-0.01963508723926447
CAP5,CORE3,EQ,False,1.2706129731877318,-0.11513321040921798,0.5395579353660765,0.05451987113691814,-0.21363308262659997,0.10945707219039046,-0.08850440763084547
CAP5,CORE3,EQ,True,1.3625361779220901,-0.09449319477272966,0.5966992414561528,0.028059627237306595,-0.10600152629741555,0.048317541662672284,-0.028350074627107587
CAP5,CORE3,HLV,False,1.3165022754552391,-0.10009962456760269,0.5030202500047622,0.04866107976246403,-0.20989810861108726,0.10548819199747388,-0.08519892870284146
CAP5,CORE3,HLV,True,1.3961762226866072,-0.08681681919181838,0.51219990218292,0.022298992560207065,-0.10885752501376067,0.0450196663645326,-0.030061226245773558
CAP5,CORE3,INV,False,1.3487098052685322,-0.0868030301249364,0.4595145141720186,0.04292905246138479,-0.2286314120592623,0.10299783216114229,-0.08130476467707295
CAP5,CORE3,INV,True,1.4643304683515905,-0.07476925110149668,0.4756736111496456,0.019349841191866668,-0.1050750668004995,0.04214205634960208,-0.030427631226367227
CAP5,CORE2,EQ,False,1.0419930310619616,-0.17341597638235928,0.5782313075396153,0.08177512973177081,-0.32377422736747363,0.1570763167826682,-0.1327566114462682
CAP5,CORE2,EQ,True,0.34452396792775747,-0.1101634317258866,0.4614259842145033,0.024574447414032807,-0.12972511774262507,0.05596643666701118,-0.0343174511526731
CAP5,CORE2,HLV,False,1.0516686977261513,-0.1661962833123909,0.5654211191030354,0.0797507657638723,-0.323211829757044,0.1574509021532554,-0.13844927766992557
CAP5,CORE2,HLV,True,0.7598624180897382,-0.10316430930789666,0.49854533160278813,0.028293721485319834,-0.12028007289079201,0.05945327721342613,-0.03872434161916691
CAP5,CORE2,INV,False,1.0539466245145745,-0.15915279011026862,0.5498179828183261,0.07763412243208134,-0.3228264345837293,0.15873065351587384,-0.14399244429688196
CAP5,CORE2,INV,True,0.745975723816938,-0.10027681615429085,0.49260487606488473,0.028474403480092336,-0.11145696250088588,0.06067381307544042,-0.04276434244375042
