Date,prob,prob_scaled,raw,joint
2020-08-05,0.005711602916217695,0.07265000564665465,0.0,0
2020-08-06,0.005545312170282486,0.06988798623217382,0.0,0
2020-08-07,0.004712315719335734,0.056052265207715904,-1.7693224569398262e-05,0
2020-08-10,0.006065119890062282,0.07852177403410117,0.001734986584351431,0
2020-08-11,0.007081245101664832,0.09539918682220179,0.002122355464178655,0
2020-08-12,0.009220360557601488,0.1309289956873029,0.0017036367739198064,0
2020-08-13,0.008657599216168986,0.12158176627886988,0.000514893665041681,0
2020-08-14,0.006206837360902577,0.08087564167496511,-0.0008926505842562805,0
2020-08-17,0.0063201750374589204,0.08275813285798464,0.003930399872603374,0
2020-08-18,0.008134491645951264,0.11289316934776834,-0.0011439225630413912,0
2020-08-19,0.006144293147033606,0.07983680856372966,0.0015826632938103892,0
2020-08-20,0.009695638837899824,0.13882316821074892,0.001449420765722615,0
2020-08-21,0.006271963416645372,0.0819573580948328,0.0,0
2020-08-24,0.005785259898628086,0.07387341717376897,-1.6279016334468847e-05,0
2020-08-25,0.005816782850189076,0.07439700015322782,-1.0473411462122956e-06,0
2020-08-26,0.011174844647563902,0.1633921551458179,-0.0028920004560560493,0
2020-08-27,0.0025736391035086977,0.020529745292434624,-0.0024495798883522376,0
2020-08-28,0.004469972463516117,0.05202704556137987,0.006003718287495001,0
2020-08-31,0.009473328840114101,0.13513069256236498,1.4188294634849552e-05,0
2020-09-01,0.016425169610282026,0.25059784658586326,0.025612560419511217,0
2020-09-02,0.024755108206876347,0.3889546264285072,-0.009568457432170857,0
2020-09-03,0.5216690267666761,1.0,-0.011795837452093418,0
2020-09-04,0.1840503559122977,1.0,0.012244515274605796,0
2020-09-08,0.11891210339761303,1.0,-0.0038147194256606524,0
2020-09-09,0.15812767015006807,1.0,0.0028542318789135674,0
2020-09-10,0.08591254048811131,1.0,-0.0040584871808442375,0
2020-09-11,0.037357199791221395,0.5982700722356257,0.00769874806747242,0
2020-09-14,0.05690962156412117,0.9230275819403948,0.005612402057075663,0
2020-09-15,0.03820017165644066,0.612271480699473,-0.012288096038225553,0
2020-09-16,0.012028417772794772,0.1775696460838002,-0.018641914960526314,0
2020-09-17,0.01078300643284299,0.15688388705003134,0.016372620306164577,0
2020-09-18,0.011230952153165464,0.1643240772374416,-0.00666842254752076,0
2020-09-21,0.04372624007923592,0.7040571551437796,-0.004408793333396829,0
2020-09-22,0.017160067753484994,0.26280419593968346,-0.011679631048712278,0
2020-09-23,0.019315063694530527,0.2985977729894506,-0.001281174122594637,0
2020-09-24,0.038388437988568475,0.6153985053664544,0.0001127264688175326,0
2020-09-25,0.04165051517067845,0.6695802366338887,0.008259828789937574,0
2020-09-28,0.0201772659871539,0.3129185907718394,0.0038166057986015836,0
2020-09-29,0.02671776180907993,0.4215534780525125,0.0005463784370599288,0
2020-09-30,0.023529315928691546,0.3685947317667426,0.011345946908735903,0
2020-10-01,0.01567478869974993,0.23813433497257736,0.012398280228492101,0
2020-10-02,0.010210424380178286,0.14737353975470208,-0.00021039199230941328,0
2020-10-05,0.027731021034783837,0.4383832880191262,-0.0028445265443411798,0
2020-10-06,0.011528290776211335,0.1692627468243089,0.018263815238747174,0
2020-10-07,0.007080551822058533,0.09538767173925781,-0.009896209270046644,0
2020-10-08,0.011774124802452587,0.1733459467005238,0.0016829669421866713,0
2020-10-09,0.004008157030300322,0.04435648527087588,0.01336760454104892,0
2020-10-12,0.004271893646424465,0.04873703964236316,-0.006630022202481886,0
