depth_scaled,volcap,subset,gate,overlay,IS_sh,IS_dd,IS_cagr,IS_vol,OOS_sh,OOS_cagr,OOS_dd,OOS_vol,OOS_worst,max_corr
False,False,CORE3B6,UT_GATE,V2_BOOK,-0.5943700286569196,-0.14002520778172067,-0.026364520721277818,0.043363071574219585,0.792094594591662,0.05264110010721823,-0.12312100495325085,0.06762726247363071,-0.0376939333473884,
False,False,CORE3B6,UT_GATE,V2_PERC,-0.10930769952997722,-0.19139432306565018,-0.009001930825347948,0.064006262937074,0.8051261235127206,0.07250649623552419,-0.17246111089318794,0.09219244605802493,-0.08172496627621212,
False,False,CORE3B6,UT_GATE,JOINT_PERC,-0.10902613915286147,-0.19139432306565018,-0.008984068657947097,0.06400625060766262,0.8252782096898263,0.07525755833483405,-0.17321207074832234,0.09315386034942587,-0.08172496627621212,
False,False,CORE3BB,NONE,OFF,1.0634264131535862,-0.2710422994828211,0.19528069851374363,0.18337010356968123,0.7786585621764442,0.12250505290567304,-0.27772599764969175,0.165994292097617,-0.1001435777862578,0.42140016253605656
False,False,CORE3BB,NONE,V2_BOOK,0.583566289742609,-0.10278866067604919,0.036413321054046266,0.0648811806174341,0.6413436820623394,0.03786947858793588,-0.1557792917091695,0.06080494181921839,-0.03611488195595404,
False,False,CORE3BB,NONE,V2_PERC,0.8929104642044492,-0.1823235842227765,0.08043793020597723,0.0913054708536585,0.5688780238734081,0.04097025514842367,-0.2928510890556342,0.07555787913682566,-0.045197563208930244,
False,False,CORE3BB,NONE,JOINT_PERC,0.8784842686816795,-0.1823235842227765,0.0789945354197652,0.09127998935268257,0.7628470286315867,0.05931993782524403,-0.21836189249376314,0.07966238641038395,-0.04397253208347932,
False,False,CORE3BB,PROD_SIZE,OFF,1.0773302456511904,-0.2675721153235633,0.19728531264700933,0.18239558113648455,0.7600199004953424,0.10665969089142835,-0.25291556131980486,0.14765500276583568,-0.09719688041270097,0.42356818743287306
False,False,CORE3BB,PROD_SIZE,V2_BOOK,0.5678878430830587,-0.10651521453538848,0.03533919890095105,0.06484215920445752,0.8159235023023915,0.047158779716283794,-0.11198643282267062,0.05855374939480541,-0.03611793820318134,
False,False,CORE3BB,PROD_SIZE,V2_PERC,0.904569540593638,-0.18078568685167296,0.08126773959436018,0.09094130619221785,0.6311197521443672,0.043735598364649464,-0.2219080006483054,0.07190043702913011,-0.04112110834285858,
False,False,CORE3BB,PROD_SIZE,JOINT_PERC,0.890115578983933,-0.18078568685167296,0.07982567818996245,0.09091561877161435,0.742648921521455,0.055848397594973065,-0.19317145619799292,0.07716292691239385,-0.04112110834285858,
False,False,CORE3BB,UT_GATE,OFF,0.4020566336693168,-0.3270397738793934,0.04923996473995618,0.14548427085701157,0.8266970306386991,0.10047637263725684,-0.22221054779982907,0.1251790056047854,-0.1001435777862578,0.4150203742333713
False,False,CORE3BB,UT_GATE,V2_BOOK,-0.39011158900262466,-0.1250313567364666,-0.01928964811653444,0.047084132950060656,0.80140627623465,0.05110424674475844,-0.10992576915246621,0.0647818115153183,-0.03611793820318134,
False,False,CORE3BB,UT_GATE,V2_PERC,-0.1326360352960942,-0.18119635538951506,-0.010643351685098335,0.06485930040958401,0.8381652437907714,0.06397470137785266,-0.14341963775057032,0.0775426570557403,-0.05691487206639466,
False,False,CORE3BB,UT_GATE,JOINT_PERC,-0.1326360352960942,-0.18119635538951506,-0.010643351685098335,0.06485930040958401,0.8470724229013415,0.06675815432292853,-0.1434196377505701,0.08004142117845182,-0.05691487206639466,
False,True,CORE3,NONE,OFF,1.2911506628105558,-0.16036584516673247,0.172230399922636,0.1295092629137787,0.7205633731893464,0.09210500870508542,-0.21937040796535423,0.13453073654713466,-0.09179534184461281,0.3009224844223173
False,True,CORE3,NONE,V2_BOOK,0.07536772135219948,-0.13789632529386608,0.0025550208831583987,0.05118324813704493,0.9458160973839697,0.06104048654557159,-0.11193677477965314,0.06483174850168262,-0.028484202780545607,
False,True,CORE3,NONE,V2_PERC,1.1439809421730425,-0.11648216387776489,0.07871861215001208,0.06827158984502864,0.7249350318869731,0.04902522754967009,-0.16446984500867456,0.06929666800863431,-0.05181797871663933,
False,True,CORE3,NONE,JOINT_PERC,1.1999610995384253,-0.11648216387776489,0.08204984542842442,0.06761974069280344,0.7393657008565676,0.05069958032191457,-0.15189126621984006,0.07018561458853183,-0.05181797871663933,
False,True,CORE3,PROD_SIZE,OFF,1.2878350080837049,-0.16024711431636118,0.17129956279107583,0.12919424056057438,0.6966063185530185,0.08172505817247289,-0.2186228401769127,0.1234286502298979,-0.0891847585150529,0.3172766275673914
False,True,CORE3,PROD_SIZE,V2_BOOK,0.07125859476776258,-0.13787346897787323,0.002343182721786352,0.05113517307611268,0.9576500985556045,0.05814319512584132,-0.10419525886880743,0.06091790274710942,-0.028484202780545607,
False,True,CORE3,PROD_SIZE,V2_PERC,1.1424037593607592,-0.11639128273819288,0.07852497327870878,0.06820468633286732,0.7216544389895165,0.04768579415870877,-0.1536509303886303,0.0676894525524783,-0.05181797871663933,
False,True,CORE3,PROD_SIZE,JOINT_PERC,1.197993970218886,-0.11639128273819288,0.08183353607356114,0.06756052433548007,0.711620647058229,0.04752001720458243,-0.1618139369885283,0.06849925342066814,-0.05181797871663933,
False,True,CORE3,UT_GATE,OFF,0.6969753346554636,-0.21319339103538204,0.07277692196589514,0.10920959092120047,0.8796297926408407,0.0967632998436121,-0.1518169400995273,0.11187460524187948,-0.09179534184461281,0.35626612419657744
False,True,CORE3,UT_GATE,V2_BOOK,0.040094297276753406,-0.10450831410261685,0.0007940960642445205,0.04512551659468032,0.9664332138819925,0.06099446056846469,-0.10454172286579444,0.0633017926888193,-0.028484202780545607,
False,True,CORE3,UT_GATE,V2_PERC,0.7582628999875135,-0.10885366056301637,0.043528493618731234,0.058433647496660183,0.7632538776062407,0.054948461286649986,-0.17727338784572388,0.0736117003918721,-0.07821357791861562,
False,True,CORE3,UT_GATE,JOINT_PERC,0.7582628999875135,-0.10885366056301637,0.043528493618731234,0.058433647496660183,0.7522286730132067,0.05460430744188982,-0.17404142841075287,0.07432669577208367,-0.07821357791861562,
False,True,CORE3B6,NONE,OFF,1.21399810535565,-0.20793075417187967,0.20100362832261642,0.16141124400358828,0.757815239511122,0.10475700308028002,-0.24719303334569886,0.14517380587311693,-0.0948271597316025,0.3009224844223173
False,True,CORE3B6,NONE,V2_BOOK,0.9314277842896076,-0.10103769957679198,0.06127829904955684,0.06620396835833267,0.6636896520032083,0.04133794318900286,-0.13912146974553719,0.06409970024098863,-0.036992489742796654,
False,True,CORE3B6,NONE,V2_PERC,1.2817372852465774,-0.1693694493246719,0.1414639315312498,0.10774279157991812,0.5908973575412638,0.0418111854645673,-0.26586520946348047,0.07389911430448537,-0.0388634840374795,
