t,cb,budget,trail,cool,zcut,entries,train_t
2.0,0.999,0.075,0.85,3,-0.90625,586,2.319529845785262
2.5,0.99,0.075,0.85,3,-0.90625,586,2.319529845785262
2.5,0.995,0.075,0.85,3,-0.90625,586,2.319529845785262
2.5,0.999,0.075,0.85,3,-0.90625,586,2.319529845785262
2.0,0.99,0.075,0.85,5,-0.90625,586,2.252301859368811
2.0,0.995,0.075,0.85,5,-0.90625,586,2.252301859368811
2.0,0.999,0.075,0.85,5,-0.90625,586,2.252301859368811
2.5,0.99,0.075,0.85,5,-0.90625,586,2.252301859368811
2.5,0.995,0.075,0.85,5,-0.90625,586,2.252301859368811
2.5,0.999,0.075,0.85,5,-0.90625,586,2.252301859368811
2.0,0.99,0.05,0.65,0,-0.90625,586,2.14925179371281
2.0,0.99,0.075,0.65,0,-0.90625,586,2.14925179371281
2.0,0.995,0.05,0.65,0,-0.90625,586,2.14925179371281
2.0,0.995,0.075,0.65,0,-0.90625,586,2.14925179371281
2.0,0.999,0.05,0.65,0,-0.90625,586,2.14925179371281
2.0,0.999,0.075,0.65,0,-0.90625,586,2.14925179371281
2.5,0.99,0.05,0.65,0,-0.90625,586,2.14925179371281
2.5,0.99,0.075,0.65,0,-0.90625,586,2.14925179371281
2.5,0.995,0.05,0.65,0,-0.90625,586,2.14925179371281
2.5,0.995,0.075,0.65,0,-0.90625,586,2.14925179371281
2.5,0.999,0.05,0.65,0,-0.90625,586,2.14925179371281
2.5,0.999,0.075,0.65,0,-0.90625,586,2.14925179371281
1.5,0.99,0.02,0.85,5,-0.4479166666666665,858,2.1164809446174817
1.5,0.995,0.02,0.85,5,-0.4479166666666665,858,2.1164809446174817
1.5,0.999,0.02,0.85,5,-0.4479166666666665,858,2.1164809446174817
2.0,0.99,0.05,0.75,5,-0.90625,586,2.110507419512329
2.0,0.99,0.075,0.75,5,-0.90625,586,2.110507419512329
2.0,0.995,0.05,0.75,5,-0.90625,586,2.110507419512329
2.0,0.995,0.075,0.75,5,-0.90625,586,2.110507419512329
2.0,0.999,0.05,0.75,5,-0.90625,586,2.110507419512329
2.0,0.999,0.075,0.75,5,-0.90625,586,2.110507419512329
2.5,0.99,0.05,0.75,5,-0.90625,586,2.110507419512329
2.5,0.99,0.075,0.75,5,-0.90625,586,2.110507419512329
2.5,0.995,0.05,0.75,5,-0.90625,586,2.110507419512329
2.5,0.995,0.075,0.75,5,-0.90625,586,2.110507419512329
2.5,0.999,0.05,0.75,5,-0.90625,586,2.110507419512329
