tbar,stor,zcut,trail,cb,cool,scale,train_t
1.25,1.5,-0.4479166666666665,0.55,0.99,10,0.46650018315663344,1.7228941637418642
1.25,1.5,-0.4479166666666665,0.55,0.99,13,0.46650018315663344,2.4781346958339525
1.25,1.5,-0.4479166666666665,0.55,0.995,0,0.46650018315663344,2.7214210359124054
1.25,1.5,-0.4479166666666665,0.55,0.995,1,0.46650018315663344,2.6963515781570933
1.25,1.5,-0.4479166666666665,0.55,0.995,2,0.46650018315663344,1.9033543086979794
1.25,1.5,-0.4479166666666665,0.55,0.995,3,0.46650018315663344,2.0124646148422953
1.25,1.5,-0.4479166666666665,0.55,0.995,4,0.46650018315663344,2.229791150361929
1.25,1.5,-0.4479166666666665,0.55,0.995,5,0.46650018315663344,2.0976382815978294
1.25,1.5,-0.4479166666666665,0.55,0.995,7,0.46650018315663344,0.032233529767338114
1.25,1.5,-0.4479166666666665,0.55,0.995,10,0.46650018315663344,1.7228941637418642
1.25,1.5,-0.4479166666666665,0.55,0.995,13,0.46650018315663344,2.4781346958339525
1.25,1.5,-0.4479166666666665,0.55,0.999,0,0.46650018315663344,2.7214210359124054
1.25,1.5,-0.4479166666666665,0.55,0.999,1,0.46650018315663344,2.6963515781570933
1.25,1.5,-0.4479166666666665,0.55,0.999,2,0.46650018315663344,1.9033543086979794
1.25,1.5,-0.4479166666666665,0.55,0.999,3,0.46650018315663344,2.0124646148422953
1.25,1.5,-0.4479166666666665,0.55,0.999,4,0.46650018315663344,2.229791150361929
1.25,1.5,-0.4479166666666665,0.55,0.999,5,0.46650018315663344,2.0976382815978294
1.25,1.5,-0.4479166666666665,0.55,0.999,7,0.46650018315663344,0.032233529767338114
1.25,1.5,-0.4479166666666665,0.55,0.999,10,0.46650018315663344,1.7228941637418642
1.25,1.5,-0.4479166666666665,0.55,0.999,13,0.46650018315663344,2.4781346958339525
1.25,1.5,-0.4479166666666665,0.6,0.5,0,0.46650018315663344,2.976022620537504
1.25,1.5,-0.4479166666666665,0.6,0.5,1,0.46650018315663344,2.981539054611948
1.25,1.5,-0.4479166666666665,0.6,0.5,2,0.46650018315663344,2.1182472992058834
1.25,1.5,-0.4479166666666665,0.6,0.5,3,0.46650018315663344,2.5864402665971156
1.25,1.5,-0.4479166666666665,0.6,0.5,4,0.46650018315663344,2.5094486802644225
